Combined categories,p_5mM.p_0mM___log2FoldChange
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-0.3595812
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-2.914382
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-2.348426539
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-2.672848699
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.860208433
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-1.037594348
"Secreted factors (enzymes, pyocine, cyanide, toxins, rhamnolipid)",-0.365595284
Iron uptake,1.332202
Iron uptake,1.034880916
Iron uptake,2.907150508
Iron uptake,3.211177
Iron uptake,3.137048
Iron uptake,0.602150505
Iron uptake,0.142826777
Iron uptake,-1.043225642
Sulfur metabolism,1.260923337
Sulfur metabolism,2.466417624
Sulfur metabolism,1.26251271
Sulfur metabolism,-0.5679318
Sulfur metabolism,-1.198920679
Sulfur metabolism,-0.9524665
Sulfur metabolism,-0.1827187
Sulfur metabolism,-2.150026562
Sulfur metabolism,-0.9797241
Sulfur metabolism,-1.071853984
Sulfur metabolism,-1.117236686
Sulfur metabolism,-1.349622277
Sulfur metabolism,-1.062177657
Sulfur metabolism,-1.149347
Sulfur metabolism,-1.051902
Sulfur metabolism,0.338157998
Sulfur metabolism,-1.174258307
Sulfur metabolism,-1.984860564
Sulfur metabolism,0.421076981
Sulfur metabolism,-0.360990586
Sulfur metabolism,-1.06745248
Sulfur metabolism,-1.854868768
Sulfur metabolism,-1.209004054
Sulfur metabolism,-0.580505042
Sulfur metabolism,-0.065234022
Sulfur metabolism,-0.543055503
Sulfur metabolism,0.674905051
Sulfur metabolism,-0.682168604
Sulfur metabolism,-0.888466633
Sulfur metabolism,-0.173801054
Sulfur metabolism,0.247329114
Sulfur metabolism,-0.191099613
Sulfur metabolism,-0.612382066
"Stresses (oxidative, heat, cold, osmotic)",0.03590124
"Stresses (oxidative, heat, cold, osmotic)",-2.128415
"Stresses (oxidative, heat, cold, osmotic)",-1.32172998
"Stresses (oxidative, heat, cold, osmotic)",-1.312018398
Transcriptional Regulators/Two-component/Sigma/Antisigma factors,-1.144905
Quorum sensing/sensors/signaling,1.476130161
